airport,date,actual_max_temp,average_max_temp,record_max_temp,actual_min_temp,average_min_temp,record_min_temp
BOS,6/10/15,82,74,96,62,58,45
BOS,4/28/15,64,60,93,42,45,30
SEA,2/3/15,50,49,63,42,37,8
SEA,11/28/15,45,48,59,27,37,17
SEA,11/27/15,49,48,58,29,38,19
AUS,6/26/15,92,94,106,74,71,62
BOS,11/15/15,54,52,78,37,38,17
BOS,11/26/15,59,48,67,38,35,12
SEA,3/23/15,52,55,68,42,40,28
BOS,2/8/15,29,38,66,13,24,-12
SEA,6/15/15,86,70,88,61,52,43
BOS,5/23/15,65,68,93,44,52,40
AUS,6/17/15,87,93,104,67,70,62
BOS,2/19/15,30,40,65,10,25,4
BOS,11/4/15,60,55,78,49,41,21
SEA,8/27/15,85,75,88,58,55,44
BOS,5/14/15,69,65,86,49,49,37
AUS,4/17/15,74,80,100,65,55,31
BOS,2/22/15,39,40,66,28,26,2
AUS,4/2/15,83,77,91,67,51,38
SEA,8/5/15,74,77,93,54,57,49
BOS,7/15/15,82,82,98,67,66,54
BOS,3/14/15,39,45,76,31,30,12
SEA,5/5/15,58,63,86,45,45,36
AUS,7/28/15,99,96,104,73,72,68
AUS,2/28/15,37,68,87,31,42,24
BOS,7/4/15,72,81,104,62,64,53
BOS,3/5/15,39,42,72,18,28,-4
SEA,12/24/15,42,45,62,36,35,16
AUS,2/17/15,54,65,92,30,40,22
AUS,5/29/15,87,90,98,64,67,54
BOS,10/16/15,61,61,88,50,46,30
AUS,2/2/15,47,63,85,33,37,8
SEA,12/22/15,46,45,57,37,35,14
BOS,8/5/15,85,81,100,65,66,54
SEA,6/18/15,76,70,94,57,52,43
BOS,6/17/15,69,77,95,59,60,48
AUS,12/19/15,67,63,84,28,36,24
AUS,6/4/15,89,91,99,63,69,58
BOS,6/20/15,75,78,98,58,61,47
SEA,5/14/15,64,65,87,49,47,36
SEA,11/15/15,48,51,62,36,40,6
SEA,5/23/15,61,66,90,53,49,37
AUS,8/26/15,95,95,103,69,70,60
SEA,9/3/15,65,74,92,51,54,45
SEA,1/27/15,52,48,58,47,37,11
SEA,9/16/15,68,71,91,50,52,44
SEA,4/14/15,53,58,83,37,42,33
BOS,10/15/15,62,62,86,47,47,31
AUS,6/10/15,92,92,100,68,70,57
BOS,10/4/15,56,66,86,51,51,34
AUS,6/1/15,87,90,100,60,68,56
AUS,10/23/15,80,80,92,70,54,38
SEA,8/15/15,71,77,96,57,56,47
SEA,10/28/15,57,56,66,52,44,30
AUS,9/9/15,93,92,100,73,67,54
AUS,8/23/15,99,96,105,72,71,63
SEA,7/23/15,79,77,99,58,56,47
SEA,1/11/15,49,47,59,45,37,12
AUS,7/21/15,95,96,102,71,72,66
AUS,2/23/15,37,66,94,30,41,24
SEA,9/25/15,60,68,85,55,50,36
BOS,7/3/15,76,81,102,63,64,51
AUS,2/18/15,64,65,89,25,40,25
SEA,3/6/15,59,52,68,38,38,26
AUS,1/19/15,72,62,86,29,36,14
AUS,7/7/15,92,94,104,77,71,64
AUS,2/9/15,81,64,87,45,38,23
SEA,3/13/15,63,53,70,46,39,28
BOS,3/22/15,39,47,83,21,33,8
BOS,9/14/15,72,73,92,57,58,40
AUS,7/12/15,93,95,106,69,72,64
BOS,8/2/15,88,81,102,68,66,54
BOS,9/5/15,73,76,93,58,61,48
BOS,4/1/15,47,50,76,30,36,13
AUS,12/10/15,79,64,83,45,38,18
SEA,11/29/15,35,48,59,28,37,18
SEA,10/6/15,65,63,78,50,48,37
AUS,1/28/15,80,62,80,36,37,18
SEA,12/9/15,54,46,61,46,36,18
BOS,6/30/15,75,80,95,60,64,52
SEA,5/24/15,64,66,89,52,49,37
BOS,9/27/15,64,68,86,48,53,37
SEA,1/20/15,50,48,64,38,37,16
AUS,6/20/15,84,93,103,71,71,63
BOS,1/25/15,38,36,59,19,22,-5
SEA,10/16/15,68,60,70,48,46,35
SEA,1/31/15,45,49,61,38,37,0
BOS,10/21/15,61,60,82,53,45,30
SEA,10/9/15,67,62,79,54,47,35
AUS,11/23/15,64,69,87,27,43,27
SEA,4/4/15,55,57,75,39,41,31
AUS,8/7/15,99,97,106,74,72,70
BOS,12/22/15,60,39,62,48,26,1
BOS,10/3/15,54,66,85,49,51,35
AUS,3/29/15,82,75,95,53,50,30
AUS,10/28/15,81,78,89,51,52,33
BOS,2/4/15,38,37,64,14,23,-2
BOS,12/15/15,61,41,66,48,28,-2
BOS,5/7/15,79,63,95,53,47,37
AUS,3/30/15,80,76,91,61,50,31
AUS,10/31/15,73,77,90,63,51,36
SEA,1/9/15,50,46,56,38,37,13
BOS,2/15/15,20,39,61,-2,25,-14
BOS,11/6/15,73,55,73,62,41,21
AUS,3/7/15,60,69,90,34,44,25
SEA,1/18/15,57,48,60,45,37,9
AUS,7/26/15,96,96,106,70,72,69
SEA,2/24/15,52,51,62,36,37,24
BOS,1/12/15,38,36,61,33,22,-10
AUS,10/29/15,82,78,88,47,52,33
BOS,8/25/15,81,78,96,67,64,46
BOS,1/7/15,26,36,63,4,23,-2
AUS,8/29/15,94,95,108,65,70,62
AUS,7/8/15,90,95,105,76,72,68
SEA,5/9/15,80,63,81,49,46,38
BOS,7/24/15,81,82,98,66,66,54
BOS,3/25/15,49,48,78,28,34,10
AUS,5/16/15,88,87,97,66,64,48
AUS,7/19/15,96,96,106,74,72,64
AUS,12/6/15,69,65,83,38,39,19
AUS,4/25/15,91,82,93,66,57,42
AUS,5/25/15,84,89,100,66,66,58
BOS,4/6/15,42,52,82,36,38,20
BOS,8/16/15,90,80,97,67,65,47
BOS,4/13/15,69,55,86,41,40,20
AUS,1/21/15,56,62,81,48,37,17
AUS,12/20/15,68,63,84,46,36,24
SEA,2/13/15,60,50,60,44,37,18
SEA,10/12/15,65,61,72,51,47,40
AUS,1/30/15,58,63,88,44,37,0
AUS,12/31/15,55,62,82,36,36,18
SEA,2/6/15,58,49,64,50,37,18
BOS,10/1/15,59,67,90,54,52,36
BOS,11/10/15,53,53,78,44,40,25
SEA,6/7/15,88,68,90,60,51,44
AUS,8/13/15,102,97,103,75,72,59
AUS,8/24/15,98,96,107,72,71,61
BOS,4/22/15,67,58,88,43,43,26
